P     N  Lbg | lands/h  p50min  p95min  maxmin | cpu/land   load rnd95
P540 T30 |    64.9     5.4    16.9 |      6.8
PS8 T15 |    19.6     8.1    20.0 |      6.0
P5f8 T15 |    22.6     6.8    12.7 |      9.3
P58 T15 |    26.4     3.6     7.2 |      6.1
PS15 T15 |    21.0    26.1    42.8 |      6.2
P5f15 T15 |    38.1     8.1    14.4 |      8.9
P515 T15 |    46.3     4.1     9.4 |      6.6
PS25 T15 |    20.4    55.0    82.0 |      6.3
P5f25 T15 |    59.9     9.4    18.2 |      7.7
P525 T15 |    66.5     5.8    17.6 |      6.9
PS40 T15 |    20.9    95.2   119.6 |      6.2
P5f40 T15 |    69.9    19.6    36.3 |      7.4
P540 T15 |    70.9    23.0    37.5 |      6.9
